url,price_pcm,bedrooms,bathrooms,address,area,within_travel_time
https://www.rightmove.co.uk/properties/142976741#/?channel=RES_LET,"£2,750 pcm",3,2,"Meadowlark House, Moorhen Drive, NW9",1076.0,unknown
https://www.rightmove.co.uk/properties/141469340#/?channel=RES_LET,"£2,750 pcm",2,2,"Kew Riverside, Richmond, TW9",1019.0,True
https://www.rightmove.co.uk/properties/143021588#/?channel=RES_LET,"£2,750 pcm",3,2,"Blenheim Road, Raynes Park",979.0,True
https://www.rightmove.co.uk/properties/132445706#/?channel=RES_LET,"£2,750 pcm",3,2,"Curtis Court, 1 Lyon Road, Harrow",958.5,unknown
https://www.rightmove.co.uk/properties/142676549#/?channel=RES_LET,"£2,750 pcm",3,2,Prague Place London SW2,958.0,True
https://www.rightmove.co.uk/properties/143300216#/?channel=RES_LET,"£2,750 pcm",2,2,"Tanner Street, Tower Bridge, SE1",939.0,unknown
https://www.rightmove.co.uk/properties/86445342#/?channel=RES_LET,"£2,750 pcm",3,2,"Princess Park Manor, Royal Drive, London, N11",880.0,unknown
https://www.rightmove.co.uk/properties/141773303#/?channel=RES_LET,"£2,750 pcm",2,2,"Levett Square, Emerald Gardens, Kew, TW9",871.0,unknown
https://www.rightmove.co.uk/properties/143105999#/?channel=RES_LET,"£2,750 pcm",2,2,St. Pauls Avenue London NW2,866.0,True
https://www.rightmove.co.uk/properties/140782877#/?channel=RES_LET,"£2,750 pcm",2,2,"Georgette Apartments, Sidney Street, E1",855.95,True
https://www.rightmove.co.uk/properties/142794341#/?channel=RES_LET,"£2,750 pcm",2,2,"Eastway, London",854.97,True
https://www.rightmove.co.uk/properties/142085330#/?channel=RES_LET,"£2,750 pcm",2,2,"Median Road, Hackney, E5",844.0,True
https://www.rightmove.co.uk/properties/143156093#/?channel=RES_LET,"£2,750 pcm",2,2,"Stane Grove, London",843.0,True
https://www.rightmove.co.uk/properties/142372331#/?channel=RES_LET,"£2,750 pcm",2,2,Skyline Apartments Devan Grove N4,839.6,unknown
https://www.rightmove.co.uk/properties/130141319#/?channel=RES_LET,"£2,750 pcm",2,2,"Claxton Grove, London",839.0,True
https://www.rightmove.co.uk/properties/143260451#/?channel=RES_LET,"£2,750 pcm",2,2,"Merchants House, 10 Parkes Street, E20 3AH",820.0,True
https://www.rightmove.co.uk/properties/143147777#/?channel=RES_LET,"£2,750 pcm",2,2,"Curtain Road, Shoreditch, EC2A",816.0,unknown
https://www.rightmove.co.uk/properties/141324434#/?channel=RES_LET,"£2,750 pcm",2,2,"Peckham Rye, Peckham Rye, London, SE15",814.0,True
https://www.rightmove.co.uk/properties/143103005#/?channel=RES_LET,"£2,750 pcm",3,2,"Prince Edward Road, London, E9",809.0,True
https://www.rightmove.co.uk/properties/143297906#/?channel=RES_LET,"£2,750 pcm",2,2,"Bowling Green Place, London, SE1",797.0,True
https://www.rightmove.co.uk/properties/143365160#/?channel=RES_LET,"£2,752 pcm",3,2,"Wymering Mansions, Maida Vale, W9",809.0,True
https://www.rightmove.co.uk/properties/143384372#/?channel=RES_LET,"£2,770 pcm",2,2,"Reed Avenue, London, E3",1711.0,True
https://www.rightmove.co.uk/properties/142788296#/?channel=RES_LET,"£2,773 pcm",2,2,"Discovery Dock East, South Quay Square, Canary Wharf E14",892.0,True
https://www.rightmove.co.uk/properties/135337796#/?channel=RES_LET,"£2,791 pcm",2,2,"Parkhaus, 1a Downs Road, Lower Clapton, E5",871.0,unknown
https://www.rightmove.co.uk/properties/143283983#/?channel=RES_LET,"£2,795 pcm",2,2,"St Marys Road, Wimbledon Village, London, SW19",1044.0,unknown
https://www.rightmove.co.uk/properties/141728906#/?channel=RES_LET,"£2,795 pcm",2,2,"Georgette Apartments, E1",839.0,True
https://www.rightmove.co.uk/properties/143354501#/?channel=RES_LET,"£2,795 pcm",2,2,"Highbury Stadium Square, Highbury, N5",821.0,unknown
https://www.rightmove.co.uk/properties/143349008#/?channel=RES_LET,"£2,799 pcm",2,2,"Fairmont Avenue, Canary Wharf",1055.0,unknown
https://www.rightmove.co.uk/properties/142486412#/?channel=RES_LET,"£2,799 pcm",2,2,"Cobblestone Square, Wapping",940.7,True
https://www.rightmove.co.uk/properties/142485779#/?channel=RES_LET,"£2,799 pcm",2,2,"Cobblestone Square, Wapping",940.7,True
https://www.rightmove.co.uk/properties/142584053#/?channel=RES_LET,"£2,799 pcm",2,2,"Southwark Bridge Road, London Bridge",840.0,True
https://www.rightmove.co.uk/properties/141880322#/?channel=RES_LET,"£2,799 pcm",2,2,"Waleorde Road, Walworth",835.2,True
https://www.rightmove.co.uk/properties/142206686#/?channel=RES_LET,"£2,800 pcm",3,2,"Hanover Road, London NW10",1179.08,True
https://www.rightmove.co.uk/properties/142759934#/?channel=RES_LET,"£2,800 pcm",3,2,"Worple road, SW19: 3 bed 1 rec 2 bath unfurn",1119.5,unknown
https://www.rightmove.co.uk/properties/142568480#/?channel=RES_LET,"£2,800 pcm",3,2,"Kingsway, East Sheen, SW14",1070.0,True
https://www.rightmove.co.uk/properties/142760528#/?channel=RES_LET,"£2,800 pcm",2,2,"Melliss Avenue, Kew, TW9",958.0,True
https://www.rightmove.co.uk/properties/86579883#/?channel=RES_LET,"£2,800 pcm",2,2,"Strawberry Hill Road, Strawberry Hill, Twickenham, TW1",953.0,True
https://www.rightmove.co.uk/properties/142438832#/?channel=RES_LET,"£2,800 pcm",2,2,"Melliss Avenue, Kew",945.1,True
https://www.rightmove.co.uk/properties/143296919#/?channel=RES_LET,"£2,800 pcm",3,2,"Potier Street, Borough, SE1",945.0,True
https://www.rightmove.co.uk/properties/142762778#/?channel=RES_LET,"£2,800 pcm",3,2,"Clement Attlee House, Cardigan Road, London, E3",922.65,True
https://www.rightmove.co.uk/properties/127340675#/?channel=RES_LET,"£2,800 pcm",2,2,"Bacon Street, London, E2",909.0,True
https://www.rightmove.co.uk/properties/86459232#/?channel=RES_LET,"£2,800 pcm",3,2,"Blake Mews, Kew, TW9",904.0,True
https://www.rightmove.co.uk/properties/86460426#/?channel=RES_LET,"£2,800 pcm",3,2,"Blake Mews, High Park Road, Kew, Richmond, TW9",904.0,unknown
https://www.rightmove.co.uk/properties/142519289#/?channel=RES_LET,"£2,800 pcm",2,2,"Bowmans Mews, Hooper Square, London, E1",898.0,unknown
https://www.rightmove.co.uk/properties/143134562#/?channel=RES_LET,"£2,800 pcm",2,2,"Crabtree Lane, Fulham, London",881.0,True
https://www.rightmove.co.uk/properties/142911902#/?channel=RES_LET,"£2,800 pcm",2,2,"Moro Apartments, London, E14",851.0,True
https://www.rightmove.co.uk/properties/143286452#/?channel=RES_LET,"£2,800 pcm",2,2,"Douglass Tower, Goodluck Hope, E14",845.0,True
https://www.rightmove.co.uk/properties/141234104#/?channel=RES_LET,"£2,800 pcm",2,2,"City Walk, London Bridge, London, SE1",818.6,unknown
https://www.rightmove.co.uk/properties/100095281#/?channel=RES_LET,"£2,800 pcm",2,2,"Bassett Road, London, W10",807.0,True
https://www.rightmove.co.uk/properties/142260197#/?channel=RES_LET,"£2,800 pcm",2,2,"Walton Heights, Elephant and Castle, London, SE17",804.0,True
https://www.rightmove.co.uk/properties/143310251#/?channel=RES_LET,"£2,800 pcm",2,2,"Assam Street, Aldgate, London, E1",801.0,unknown
